# IAZAHLN,IAZAHLF,AT0(3),FCOR(3),FCOR1(far),FCOR2(near), fcor2_1,fcor2_2
#  2160   61  1.00  1.00  1.00    1.39   1.41   1.39   1.64  0.842   1.00  1.00
# Table for near sidelobes (IAZAHLN rows)
# AP1,AP2,AT1,AT2 cell edges (phi_low, phi_high, radius_low, radius_high)
# also used to calculate solid angle
# Factor (only one column is used!): "Gain"
# AP1,AP2,AT1,AT2,AG //  IAZAHLN CARDS  FOR NEAR SIDELOBE REGION
  35.00  40.00   0.38   0.50    0.2657198520E+02    0.2657198520E+02
  40.00  45.00   0.38   0.50    0.3140336230E+02    0.3140336230E+02
  45.00  50.00   0.38   0.50    0.3317556760E+02    0.3317556760E+02
  50.00  55.00   0.38   0.50    0.2657198520E+02    0.2657198520E+02
  55.00  60.00   0.38   0.50    0.1212885860E+02    0.1212885860E+02
  60.00  65.00   0.38   0.50    0.3895528550E+01    0.3895528550E+01
  65.00  70.00   0.38   0.50    0.3288998130E+01    0.3288998130E+01
  70.00  75.00   0.38   0.50    0.2202677540E+02    0.2202677540E+02
  75.00  80.00   0.38   0.50    0.1175584340E+03    0.1175584340E+03
  80.00  85.00   0.38   0.50    0.3531544190E+03    0.3531544190E+03
  85.00  90.00   0.38   0.50    0.5602802120E+03    0.5602802120E+03
  90.00  95.00   0.38   0.50    0.5879975590E+03    0.5879975590E+03
  95.00 100.00   0.38   0.50    0.3531544190E+03    0.3531544190E+03
 100.00 105.00   0.38   0.50    0.1175584340E+03    0.1175584340E+03
 105.00 110.00   0.38   0.50    0.2202677730E+02    0.2202677730E+02
 110.00 115.00   0.38   0.50    0.3288997650E+01    0.3288997650E+01
 115.00 120.00   0.38   0.50    0.3895528320E+01    0.3895528320E+01
 120.00 125.00   0.38   0.50    0.1212885760E+02    0.1212885760E+02
 125.00 130.00   0.38   0.50    0.2657198330E+02    0.2657198330E+02
 130.00 135.00   0.38   0.50    0.3140336040E+02    0.3140336040E+02
 135.00 140.00   0.38   0.50    0.3317556760E+02    0.3317556760E+02
 140.00 145.00   0.38   0.50    0.2657198720E+02    0.2657198720E+02
 145.00 150.00   0.38   0.50    0.1212885860E+02    0.1212885860E+02
 150.00 155.00   0.38   0.50    0.3895529510E+01    0.3895529510E+01
 155.00 160.00   0.38   0.50    0.3288999320E+01    0.3288999320E+01
 160.00 165.00   0.38   0.50    0.2202678300E+02    0.2202678300E+02
 165.00 170.00   0.38   0.50    0.1175584560E+03    0.1175584560E+03
 170.00 175.00   0.38   0.50    0.3531544190E+03    0.3531544190E+03
 175.00 180.00   0.38   0.50    0.5602802730E+03    0.5602802730E+03
 180.00 185.00   0.38   0.50    0.5879975590E+03    0.5879975590E+03
 185.00 190.00   0.38   0.50    0.3531544190E+03    0.3531544190E+03
 190.00 195.00   0.38   0.50    0.1175584490E+03    0.1175584490E+03
 195.00 200.00   0.38   0.50    0.2202678300E+02    0.2202678300E+02
 200.00 205.00   0.38   0.50    0.3288999320E+01    0.3288999320E+01
 205.00 210.00   0.38   0.50    0.3895529030E+01    0.3895529030E+01
 210.00 215.00   0.38   0.50    0.1212885860E+02    0.1212885860E+02
 215.00 220.00   0.38   0.50    0.2657198520E+02    0.2657198520E+02
 220.00 225.00   0.38   0.50    0.3317556760E+02    0.3317556760E+02
 225.00 230.00   0.38   0.50    0.3140336230E+02    0.3140336230E+02
 230.00 235.00   0.38   0.50    0.2657198520E+02    0.2657198520E+02
 235.00 240.00   0.38   0.50    0.1212885760E+02    0.1212885760E+02
 240.00 245.00   0.38   0.50    0.3895528790E+01    0.3895528790E+01
 245.00 250.00   0.38   0.50    0.3288998840E+01    0.3288998840E+01
 250.00 255.00   0.38   0.50    0.2202678300E+02    0.2202678300E+02
 255.00 260.00   0.38   0.50    0.1175584490E+03    0.1175584490E+03
 260.00 265.00   0.38   0.50    0.3531544490E+03    0.3531544490E+03
 265.00 270.00   0.38   0.50    0.5879975590E+03    0.5879975590E+03
 270.00 275.00   0.38   0.50    0.5602802120E+03    0.5602802120E+03
 275.00 280.00   0.38   0.50    0.3531544490E+03    0.3531544490E+03
 280.00 285.00   0.38   0.50    0.1175584490E+03    0.1175584490E+03
 285.00 290.00   0.38   0.50    0.2202678110E+02    0.2202678110E+02
 290.00 295.00   0.38   0.50    0.3288999320E+01    0.3288999320E+01
 295.00 300.00   0.38   0.50    0.3895529030E+01    0.3895529030E+01
 300.00 305.00   0.38   0.50    0.1212885860E+02    0.1212885860E+02
 305.00 310.00   0.38   0.50    0.2657198520E+02    0.2657198520E+02
 310.00 315.00   0.38   0.50    0.3317556760E+02    0.3317556760E+02
 315.00 320.00   0.38   0.50    0.3140336230E+02    0.3140336230E+02
 320.00 325.00   0.38   0.50    0.2657198330E+02    0.2657198330E+02
 325.00 330.00   0.38   0.50    0.1212885760E+02    0.1212885760E+02
 330.00 335.00   0.38   0.50    0.3895528550E+01    0.3895528550E+01
 335.00 340.00   0.38   0.50    0.3288998370E+01    0.3288998370E+01
 340.00 345.00   0.38   0.50    0.2202677730E+02    0.2202677730E+02
 345.00 350.00   0.38   0.50    0.1175584340E+03    0.1175584340E+03
 350.00 355.00   0.38   0.50    0.3531543880E+03    0.3531543880E+03
 355.00 360.00   0.38   0.50    0.5602802120E+03    0.5602802120E+03
   0.00   5.00   0.50   0.62    0.6585943600E+03    0.6585943600E+03
   5.00  10.00   0.50   0.62    0.3487401430E+03    0.3487401430E+03
  10.00  15.00   0.50   0.62    0.1107635960E+03    0.1107635960E+03
  15.00  20.00   0.50   0.62    0.2972316740E+02    0.2972316740E+02
  20.00  25.00   0.50   0.62    0.2448137860E+02    0.2448137860E+02
  25.00  30.00   0.50   0.62    0.3123366930E+02    0.3123366930E+02
  30.00  35.00   0.50   0.62    0.2546053890E+02    0.2546053890E+02
  35.00  40.00   0.50   0.62    0.1109662250E+02    0.1109662250E+02
  40.00  45.00   0.50   0.62    0.3332223890E+01    0.3332223890E+01
  45.00  50.00   0.50   0.62    0.3036509510E+01    0.3036509510E+01
  50.00  55.00   0.50   0.62    0.1109662250E+02    0.1109662250E+02
  55.00  60.00   0.50   0.62    0.2546053890E+02    0.2546053890E+02
  60.00  65.00   0.50   0.62    0.3123366930E+02    0.3123366930E+02
  65.00  70.00   0.50   0.62    0.2448137860E+02    0.2448137860E+02
  70.00  75.00   0.50   0.62    0.2972316740E+02    0.2972316740E+02
  75.00  80.00   0.50   0.62    0.1107636030E+03    0.1107636030E+03
  80.00  85.00   0.50   0.62    0.3487401430E+03    0.3487401430E+03
